Unnamed: 0,티커,종목명,강도_1m,강도_2m,최종점수,비고
1,298040,효성중공업,0.1367072472936642,0.1391635630234654,0.551741620634259,중복(2배)
2,278470,에이피알,0.09994788108575799,0.1008629940575541,0.4016217502866243,중복(2배)
3,489790,한화비전,0.06755486530262789,0.06733803557450309,0.2697858017542619,중복(2배)
4,17960,한국카본,0.05131365151898928,0.05827796912883895,0.2191832412956564,중복(2배)
5,10620,HD현대미포,0.04684663320487766,0.0616569166944015,0.2170070997985583,중복(2배)
6,161890,한국콜마,0.05018855023311656,0.05531546883769196,0.2110080381416171,중복(2배)
7,100840,SNT에너지,0.04520659306658313,0.0530338707633267,0.1964809276598197,중복(2배)
8,3230,삼양식품,0.03994920976523211,0.05360945492379987,0.187117329378064,중복(2배)
9,71970,HD현대마린엔진,0.0349826868273278,0.06428927274938147,0.06428927274938147,2개월상위
10,79550,LIG넥스원,0.03681505170586988,0.05530695481034117,0.05530695481034117,2개월상위
11,75580,세진중공업,0.04325599623289442,0.03822644029746054,0.04325599623289442,1개월상위
12,720,현대건설,0.040009987154888,0.03705348648156744,0.040009987154888,1개월상위
