Unnamed: 0,티커,종목명,강도_1m,강도_2m,최종점수,비고
1,32350,롯데관광개발,0.05562150411206828,0.06818916024969267,0.2476213287235219,중복(2배)
2,4370,농심,0.05244690188702861,0.05658604231251693,0.2180658883990911,중복(2배)
3,11070,LG이노텍,0.03572387116999975,0.05957142397678111,0.1905905902935617,중복(2배)
4,161390,한국타이어앤테크놀로지,0.02357456183522885,0.03780872556208124,0.1227665747946202,중복(2배)
5,10950,S-Oil,0.01765195391087005,0.03781976514032106,0.1109434381023822,중복(2배)
6,78930,GS,0.02004842667411304,0.0265707684352078,0.09323839021864169,중복(2배)
7,100,유한양행,0.01489119676464189,0.01975251456263229,0.06928742265454835,중복(2배)
8,4170,신세계,0.01652568471549523,0.01640833232392568,0.06586803407884183,중복(2배)
9,15760,한국전력,0.005273802908118917,0.02142009828793998,0.02142009828793998,2개월상위
10,10620,HD현대미포,0.01985836663454069,0.01416288593907229,0.01985836663454069,1개월상위
11,278470,에이피알,0.004638421387093854,0.01895472507630647,0.01895472507630647,2개월상위
12,3230,삼양식품,0.01376639605696784,-9.579769876073575e-05,0.01376639605696784,1개월상위
