Unnamed: 0,티커,종목명,강도_1m,강도_2m,최종점수,비고
1,82740,한화엔진,0.03891568762658772,0.05470933034344947,0.1872500359400744,중복(2배)
2,91810,티웨이항공,0.04792830620951839,0.04111471539357676,0.1780860432061903,중복(2배)
3,62040,산일전기,0.05435187796479742,0.03363646423365347,0.1759766843969018,중복(2배)
4,12450,한화에어로스페이스,0.02054285223230711,0.04022621270002315,0.1215381298646605,중복(2배)
5,77970,STX엔진,0.02508928079386474,0.0316363047878452,0.1134511711634199,중복(2배)
6,51600,한전KPS,0.00887428798088411,0.04854406442054958,0.04854406442054958,2개월상위
7,36570,엔씨소프트,0.003669764700170314,0.04128818137077681,0.04128818137077681,2개월상위
8,35420,NAVER,0.01531324976351916,0.04026497534455598,0.04026497534455598,2개월상위
9,3230,삼양식품,0.01665552099307969,0.03887063804004169,0.03887063804004169,2개월상위
10,7660,이수페타시스,0.02871696881147477,-0.008862387389076855,0.02871696881147477,1개월상위
11,36460,한국가스공사,0.01114555593121622,0.02853597273907238,0.02853597273907238,2개월상위
12,720,현대건설,0.02828478916150986,0.01541711690473263,0.02828478916150986,1개월상위
13,278470,에이피알,0.02277354418985736,0.01604529066765358,0.02277354418985736,1개월상위
14,42660,한화오션,0.01978576601251059,0.01667518457792319,0.01978576601251059,1개월상위
15,660,SK하이닉스,0.01895427818477146,0.02470084818003343,0.01895427818477146,1개월상위
