티커,종목명,강도_단기,강도_장기,최종점수,비고
82740,한화엔진,0.08433392600277945,0.08450440129256571,0.3376766545906903,중복(2배)
489790,한화비전,0.07953533546139133,0.07934113286756142,0.3177529366579055,중복(2배)
42660,한화오션,0.04291525425980958,0.04140368372916347,0.1686378759779461,중복(2배)
62040,산일전기,0.03246677010139231,0.03269060293868145,0.1303147460801475,중복(2배)
42670,HD현대인프라코어,0.02880796952740506,0.02559824103326086,0.1088124211213318,중복(2배)
9150,삼성전기,0.02152915585426128,0.03167851984995144,0.1064153514084254,중복(2배)
267270,HD건설기계,0.02777713574446683,0.02198715130443769,0.09952857409780903,중복(2배)
47810,한국항공우주,0.02014058822826009,0.0206889591827061,0.08165909482193238,중복(2배)
5930,삼성전자,0.01214015336243069,0.01662508087730823,0.05753046847947783,중복(2배)
880,한화,0.01182102491036182,0.03040878201361828,0.03040878201361828,장기상위
12510,더존비즈온,0.01831727476845508,0.003435929714170617,0.01831727476845508,단기상위
