티커,종목명,강도_단기,강도_장기,최종점수,비고
62040,산일전기,0.01667793118786545,0.06341057768141344,0.1601770177385577,단기+장기 중복(2배)
12510,더존비즈온,0.03405633158753636,0.04564328429940107,0.1593992317738749,단기+장기 중복(2배)
64350,현대로템,0.03485309968145258,0.044572184673103,0.1588505687091112,단기+장기 중복(2배)
77970,STX엔진,0.03267077548181637,0.04263853274656918,0.1506186164567711,단기+장기 중복(2배)
3230,삼양식품,0.02276993820418384,0.02646283873036204,0.09846555386909175,단기+장기 중복(2배)
34020,두산에너빌리티,0.0148209159529491,0.0254076426088239,0.080457117123546,단기+장기 중복(2배)
377300,카카오페이,0.01591856155730267,0.01993811921542483,0.07171336154545502,단기+장기 중복(2배)
7660,이수페타시스,-0.02592560547297974,0.02581498368544608,0.02581498368544608,장기상위
35420,NAVER,0.01109817831382006,0.0186275885035903,0.0186275885035903,장기상위
10120,LS ELECTRIC,0.01792590798122066,0.01489250776995305,0.01792590798122066,단기상위
139480,이마트,0.0175486365828351,0.01655090819796617,0.0175486365828351,단기상위
204320,HL만도,0.01471466542656849,0.01724921350130362,0.01724921350130362,장기상위
79550,LIG넥스원,0.01495791087344028,0.01056987759952466,0.01495791087344028,단기상위
