티커,종목명,강도_단기,강도_장기,최종점수,비고
64350,현대로템,0.02070520616306292,0.02514049792075157,0.09169140816762897,중복(2배)
9150,삼성전기,0.01535772454623752,0.02239944695054904,0.07551434299357312,중복(2배)
660,SK하이닉스,0.01869343607524537,0.01360002366153017,0.06458691947355108,중복(2배)
12450,한화에어로스페이스,0.01392139088688978,0.01323889932997437,0.0543205804337283,중복(2배)
10120,LS ELECTRIC,0.00981007378691983,0.009817360864978903,0.03925486930379747,중복(2배)
28260,삼성물산,0.006761978956703592,0.008030521587795837,0.02958500108899886,중복(2배)
34730,SK,0.00600073522218207,0.007250095477145502,0.02650166139865514,중복(2배)
326030,SK바이오팜,0.005610280255003849,0.003850296604221387,0.01892115371845047,중복(2배)
51910,LG화학,0.001510373611893935,0.007412701065990918,0.01784614935576971,중복(2배)
5930,삼성전자,0.006526006481697761,0.002374185891668171,0.01780038474673186,중복(2배)
