티커,종목명,강도_단기,강도_장기,최종점수,비고
52690,한전기술,0.04598664410442786,0.02873461520540777,0.1494425186196713,중복(2배)
42660,한화오션,0.03852964959065799,0.03266020266688252,0.142379704515081,중복(2배)
66970,엘앤에프,0.02483333895993664,0.03819659548989644,0.1260598688996661,중복(2배)
42700,한미반도체,0.03298851554156892,0.02723495443471026,0.1204469399525583,중복(2배)
272210,한화시스템,0.02499731019152942,0.03434442423636173,0.1186834688557823,중복(2배)
82740,한화엔진,0.04046366494932709,0.01803445347247346,0.1169962368436011,중복(2배)
4170,신세계,0.01496147963195446,0.02876435142964397,0.08745166212319685,중복(2배)
35420,NAVER,0.01722108671541437,0.02008123972909453,0.0746046528890178,중복(2배)
36570,엔씨소프트,0.01118944770269671,0.0201588364962539,0.0201588364962539,장기상위
336260,두산퓨얼셀,0.01433621799641287,0.01776388908691568,0.01776388908691568,장기상위
68270,셀트리온,0.01767821235949867,0.01719475665444078,0.01767821235949867,단기상위
5490,POSCO홀딩스,0.01538837633388692,0.01368092066692654,0.01538837633388692,단기상위
