티커,종목명,강도_단기,강도_장기,최종점수,비고
37270,YG PLUS,0.04311065640848993,0.05276958325239931,0.1917604793217785,단기+장기 중복(2배)
103140,풍산,0.04033113224771259,0.05404066551411335,0.1887435955236519,단기+장기 중복(2배)
10620,HD현대미포,0.03944160477548114,0.05033442201210072,0.1795520535751637,단기+장기 중복(2배)
42670,HD현대인프라코어,0.03763769863057549,0.04588517420606664,0.1670457456732843,단기+장기 중복(2배)
278470,에이피알,0.0251097257037826,0.04993949830452846,0.1500984480166221,단기+장기 중복(2배)
161890,한국콜마,0.02461771333899727,0.04753110158961119,0.1442976298572169,단기+장기 중복(2배)
298040,효성중공업,0.004617805229531011,0.08560055640390563,0.08560055640390563,장기상위
720,현대건설,0.01020214052656026,0.04248593043681242,0.04248593043681242,장기상위
10140,삼성중공업,0.00857538422905526,0.04136288637700535,0.04136288637700535,장기상위
5690,파미셀,0.01919063358448052,0.04123394294193928,0.04123394294193928,장기상위
64400,LG씨엔에스,0.03882183338997872,0.03790216099888364,0.03882183338997872,단기상위
6260,LS,0.03202222423347269,0.02293345712805183,0.03202222423347269,단기상위
267260,HD현대일렉트릭,0.02545815880696669,0.03118432703960917,0.02545815880696669,단기상위
5010,휴스틸,0.02500742411475477,0.0245640827541278,0.02500742411475477,단기상위
