티커,종목명,강도_단기,강도_장기,최종점수,비고
4370,농심,0.04845975814111219,0.05244690188702861,0.2018133200562816,중복(2배)
32350,롯데관광개발,0.04029538745029113,0.05562150411206828,0.1918337831247188,중복(2배)
10620,HD현대미포,0.007662902282833185,0.01985836663454069,0.05504253783474776,중복(2배)
78930,GS,0.006194979172987745,0.02004842667411304,0.05248681169420158,중복(2배)
10950,S-Oil,0.006884849346511106,0.01765195391087005,0.04907360651476231,중복(2배)
100,유한양행,0.003757550517128135,0.01489119676464189,0.03729749456354005,중복(2배)
15760,한국전력,0.0102663665147879,0.005273802908118917,0.03108033884581364,중복(2배)
278470,에이피알,0.01035063524139419,0.004638421387093854,0.02997811325697609,중복(2배)
3230,삼양식품,0.003358900234202489,0.01376639605696784,0.01376639605696784,장기상위
192820,코스맥스,0.012567974664478,0.004235743346158469,0.012567974664478,단기상위
720,현대건설,0.01022975594040832,-0.00513879687070012,0.01022975594040832,단기상위
33780,KT&G,0.003566022982696354,0.01020754216814826,0.01020754216814826,장기상위
