티커,종목명,강도_단기,강도_장기,최종점수,비고
7660,이수페타시스,0.06200138110123601,0.06175558569383287,0.2475139335901378,단기+장기 중복(2배)
91810,티웨이항공,0.04944442234509823,0.05149462716073697,0.2018780990116704,단기+장기 중복(2배)
62040,산일전기,0.04698356003176838,0.05098931101822555,0.1959457420999879,단기+장기 중복(2배)
2900,TYM,0.02018611043679995,0.02024142008298475,0.0808550610395694,단기+장기 중복(2배)
229640,LS에코에너지,0.02003938373068364,0.02024665407252149,0.08057207560641025,단기+장기 중복(2배)
720,현대건설,0.01471203881154765,0.02464293791959038,0.07870995346227605,단기+장기 중복(2배)
77970,STX엔진,0.01283402222929546,0.03647429047766333,0.03647429047766333,장기상위
6340,대원전선,0.0313052249800899,-0.0403395643820492,0.0313052249800899,단기상위
82740,한화엔진,-0.0005008792501091733,0.03118039813997847,0.03118039813997847,장기상위
278470,에이피알,0.002640745478167861,0.02557080796094028,0.02557080796094028,장기상위
150,두산,0.02154374717389643,0.006472343165503924,0.02154374717389643,단기상위
12450,한화에어로스페이스,0.003255597286322755,0.02121696298297572,0.02121696298297572,장기상위
84690,대상홀딩스,0.01498283984616034,0.01084804654268039,0.01498283984616034,단기상위
64350,현대로템,0.01457862748747564,0.01922916705273349,0.01457862748747564,단기상위
