Unnamed: 0,티커,종목명,강도_1m,강도_2m,최종점수,비고
1,336260,두산퓨얼셀,0.119940858870552,0.1405945760976876,0.5210708699364792,중복(2배)
2,5690,파미셀,0.07379414303672481,0.06278854008332967,0.273165366240109,중복(2배)
3,1440,대한전선,0.06468794967756226,0.06741752310148057,0.2642109455580857,중복(2배)
4,229640,LS에코에너지,0.06394930050243437,0.05650835494037253,0.2409153108856138,중복(2배)
5,7660,이수페타시스,0.036587527311688,0.07030502394954241,0.2137851025224608,중복(2배)
6,6260,LS,0.05477452432342687,0.04768792424493985,0.2049248971367335,중복(2배)
7,5935,삼성전자우,0.03543210604325787,0.04752543402697045,0.1659150801404566,중복(2배)
8,9150,삼성전기,0.02296979819653682,0.05757199222416471,0.05757199222416471,2개월상위
9,11070,LG이노텍,0.02345174280168955,0.04519464274375206,0.04519464274375206,2개월상위
10,66570,LG전자,0.0287211589349129,0.04242271684865177,0.04242271684865177,2개월상위
11,353200,대덕전자,0.03938081713285514,0.02327324847057052,0.03938081713285514,1개월상위
12,52690,한전기술,0.03095077898990396,0.04048484983937877,0.03095077898990396,1개월상위
13,51910,LG화학,0.02956326286624075,0.03582608599552215,0.02956326286624075,1개월상위
