Unnamed: 0,티커,종목명,강도_1m,강도_2m,최종점수,비고
1,8770,호텔신라,0.0668774396704998,0.07565442315773933,0.2850637256564783,중복(2배)
2,9150,삼성전기,0.04381156349751335,0.06289995640625713,0.213423039807541,중복(2배)
3,11070,LG이노텍,0.02790223049008021,0.03956516536346946,0.1349347917070993,중복(2배)
4,64350,현대로템,0.02485254903090458,0.01489553750461758,0.07949617307104434,중복(2배)
5,28260,삼성물산,0.01549272657125156,0.02065286628794859,0.07229118571840029,중복(2배)
6,5930,삼성전자,0.01977266944491945,0.01509309440477095,0.06973152769938079,중복(2배)
7,34730,SK,0.01384548265278698,0.01805697612601915,0.06380491755761226,중복(2배)
8,5935,삼성전자우,0.01537163978652621,0.01547785654675759,0.0616989926665676,중복(2배)
9,272210,한화시스템,0.01996073878256041,0.008182708640915214,0.01996073878256041,1개월상위
10,34020,두산에너빌리티,0.01272500535204843,0.005658824296028337,0.01272500535204843,1개월상위
11,47810,한국항공우주,0.003631752779104318,0.01190652283189632,0.01190652283189632,2개월상위
12,660,SK하이닉스,0.01079415665846026,0.01103422534848536,0.01103422534848536,2개월상위
