Unnamed: 0,티커,종목명,강도_1m,강도_2m,최종점수,비고
1,489790,한화비전,0.09211070651020528,0.06187881065490316,0.3079790343302169,중복(2배)
2,42670,HD현대인프라코어,0.04518329291511729,0.0693618421977148,0.2290902702256642,중복(2배)
3,42660,한화오션,0.04973461303328917,0.04598175571532075,0.1914327374972198,중복(2배)
4,9150,삼성전기,0.03385267244793075,0.03984975352206678,0.1474048519399951,중복(2배)
5,62040,산일전기,0.03122704938576166,0.03940371855716442,0.1412615358858522,중복(2배)
6,267270,HD건설기계,0.02799810207642601,0.03088893076107958,0.1177740656750112,중복(2배)
7,35250,강원랜드,0.01623168426957551,0.02563985080589049,0.083743070150932,중복(2배)
8,270,기아,0.01040879156756235,0.02038116049938013,0.06157990413388496,중복(2배)
9,51910,LG화학,0.009218356581790694,0.01589213943327083,0.05022099203012305,중복(2배)
10,12330,현대모비스,0.009143989494822284,0.01979545464264569,0.01979545464264569,2개월상위
11,12450,한화에어로스페이스,0.009723708467477983,0.009006938049601013,0.009723708467477983,1개월상위
