티커,종목명,강도_단기,강도_장기,최종점수,비고
7660,이수페타시스,0.01960163946700131,0.06793769290794623,0.1750786647498951,단기+장기 중복(2배)
10620,HD현대미포,0.03701170907120647,0.03264173164189546,0.1393068814262038,단기+장기 중복(2배)
278470,에이피알,0.01200618166465879,0.04718613673398642,0.1183846367972904,단기+장기 중복(2배)
139480,이마트,0.01706496190645545,0.04020990778352181,0.1145497393799545,단기+장기 중복(2배)
484870,엠앤씨솔루션,0.01531536751362008,0.03845506699929845,0.107540869025837,단기+장기 중복(2배)
990,DB하이텍,0.01198453382317374,0.03740807657704145,0.0987852208004304,단기+장기 중복(2배)
5690,파미셀,-0.004708930909836828,0.07605718818470311,0.07605718818470311,장기상위
71970,HD현대마린엔진,0.003550496107470092,0.06398465966959987,0.06398465966959987,장기상위
42670,HD현대인프라코어,-0.004027410388429973,0.0411834283757042,0.0411834283757042,장기상위
47810,한국항공우주,0.005110313174925899,0.0318967033198918,0.0318967033198918,장기상위
17960,한국카본,0.030517329954276,0.0255378189809106,0.030517329954276,단기상위
720,현대건설,0.02701164438601392,0.02360364531195482,0.02701164438601392,단기상위
100840,SNT에너지,0.01925800872174439,0.0147759204423971,0.01925800872174439,단기상위
11780,금호석유,0.01237417112403627,0.009189480146812649,0.01237417112403627,단기상위
