티커,종목명,강도_단기,강도_장기,최종점수,비고
017960,한국카본,0.06274609792126093,0.1173961897651851,0.360284575372892,단기+장기 중복(2배)
037270,YG PLUS,0.06595042608769325,0.1031006567766428,0.3381021657286721,단기+장기 중복(2배)
052690,한전기술,0.04679426050640036,0.08580499205176575,0.2651985051163323,단기+장기 중복(2배)
079900,전진건설로봇,0.05418060513528812,0.07110946946538968,0.2505801492013556,단기+장기 중복(2배)
002020,코오롱,0.04221137357955115,0.07459827906950126,0.2336193052981048,단기+장기 중복(2배)
103590,일진전기,0.05173091488610517,0.0614426554510665,0.2263471406743434,단기+장기 중복(2배)
00680K,미래에셋증권2우B,0.04903307857264231,0.05392967128292268,0.20592549971113,단기+장기 중복(2배)
042670,HD현대인프라코어,0.03240616838106725,0.07335752342702058,0.07335752342702058,장기상위
007660,이수페타시스,0.03259473569033838,0.04844752039647029,0.04844752039647029,장기상위
071970,HD현대마린엔진,-0.001907421072065791,0.04794087833143511,0.04794087833143511,장기상위
000155,두산우,0.04447330172546626,0.01687108426081548,0.04447330172546626,단기상위
139480,이마트,0.04195469409793921,0.01516901791902494,0.04195469409793921,단기상위
097230,HJ중공업,0.03998524530304198,0.04009351740219028,0.03998524530304198,단기상위
