티커,종목명,강도_단기,강도_장기,최종점수,비고
90460,비에이치,0.09601618666523781,0.1729821399059616,0.5379966531423988,중복(2배)
77970,STX엔진,0.05223526114722599,0.09410670810430383,0.2926839385030596,중복(2배)
336260,두산퓨얼셀,0.03665933194041659,0.06604521494574313,0.2054090937723194,중복(2배)
8770,호텔신라,0.03074152956244481,0.05538374051694496,0.1722505401587796,중복(2배)
34230,파라다이스,0.03048312287114488,0.05491819669585021,0.1708026391339902,중복(2배)
71970,HD현대마린엔진,0.02158132201273754,0.03888076993495674,0.1209241838953886,중복(2배)
1440,대한전선,0.01916187788833403,0.03452191507352172,0.1073675859237115,중복(2배)
450080,에코프로머티,0.01548390353866493,0.02789570031097127,0.08675920769927241,중복(2배)
11070,LG이노텍,0.01488168329111907,0.02681074421415831,0.08338485501055476,중복(2배)
88980,맥쿼리인프라,0.01073959409992021,0.01934838315963061,0.06017595451910165,중복(2배)
