티커,종목명,강도_단기,강도_장기,최종점수,비고
353200,대덕전자,0.05020186362728417,0.09044335230466803,0.2812904318639044,중복(2배)
77970,STX엔진,0.03432085865216118,0.06183223661818577,0.1923061905406939,중복(2배)
336260,두산퓨얼셀,0.0318526013538235,0.05738544025880129,0.1784760832252496,중복(2배)
4370,농심,0.02392404027643283,0.04310139598276779,0.1340508725184013,중복(2배)
1450,현대해상,0.02392042633887406,0.04309488513627288,0.1340306229502939,중복(2배)
11170,롯데케미칼,0.02196557823544464,0.03957304345658496,0.1230772433840592,중복(2배)
103140,풍산,0.01792089786954454,0.0322861735107039,0.1004141427604969,중복(2배)
128940,한미약품,0.01537040402188707,0.02769122031679093,0.086123248677356,중복(2배)
7660,이수페타시스,0.01220353933054772,0.02198581740373351,0.06837871346856247,중복(2배)
150,두산,0.00644780301995788,0.01161632015207124,0.03612824634405823,중복(2배)
