티커,종목명,강도_단기,강도_장기,최종점수,비고
32350,롯데관광개발,0.03892657146740919,0.07012985899045973,0.2181128609157378,중복(2배)
192820,코스맥스,0.03166835293284546,0.0570534994971233,0.1774437048599375,중복(2배)
4370,농심,0.02194375058912184,0.03953371891036866,0.122954938998981,중복(2배)
78930,GS,0.0113852857726702,0.02051165709448468,0.06379388573430975,중복(2배)
720,현대건설,0.007996926961105114,0.01440721180926119,0.0448082775407326,중복(2배)
10950,S-Oil,0.0069094465134691,0.01244801407946761,0.03871492118587341,중복(2배)
10620,HD현대미포,0.006698450424706378,0.01206788489277936,0.03753267063497147,중복(2배)
278470,에이피알,0.006238674205394758,0.01123955503448484,0.03495645847975919,중복(2배)
100,유한양행,0.006115503225681771,0.01101765099533203,0.0342663084420276,중복(2배)
3230,삼양식품,0.005481178665815272,0.009874855977413033,0.03071206928645661,중복(2배)
