티커,종목명,강도_단기,강도_장기,최종점수,비고
77970,STX엔진,0.07372972350182347,0.1001417875734831,0.3477430221506133,단기+장기 중복(2배)
720,현대건설,0.0343973787708883,0.08161562421371063,0.2320260059691979,단기+장기 중복(2배)
64350,현대로템,0.05195143326084085,0.06069726619720371,0.2252973989160891,단기+장기 중복(2배)
990,DB하이텍,0.05401936491657562,0.05091454170065088,0.209867813234453,단기+장기 중복(2배)
12510,더존비즈온,0.03585270315212929,0.06128746823219191,0.1942803427686424,단기+장기 중복(2배)
34020,두산에너빌리티,0.02961606434807378,0.05266493548102678,0.1645619996582011,단기+장기 중복(2배)
139480,이마트,0.03754560770889968,0.04277803962664425,0.1606472946710878,단기+장기 중복(2배)
7660,이수페타시스,0.0260673816900359,0.1159038604551781,0.1159038604551781,장기상위
62040,산일전기,-0.01258970189025919,0.06145433752432987,0.06145433752432987,장기상위
278470,에이피알,0.05420436282156476,0.02944600226717072,0.05420436282156476,단기상위
489790,한화비전,0.03965861784221609,0.008022808135160698,0.03965861784221609,단기상위
11070,LG이노텍,0.03625972275284082,-0.02520698524621945,0.03625972275284082,단기상위
52690,한전기술,0.01884154585341399,0.03183269931533668,0.03183269931533668,장기상위
