티커,종목명,강도_단기,강도_장기,최종점수,비고
10060,OCI홀딩스,0.03619963778555584,0.06521703293423169,0.202833341439575,중복(2배)
35250,강원랜드,0.01387463522806551,0.02499645294738979,0.0777421763509106,중복(2배)
103140,풍산,0.01298172357867007,0.02338778910409526,0.07273902536553066,중복(2배)
28050,삼성E&A,0.01212776701357834,0.02184930648833238,0.06795414700382145,중복(2배)
1040,CJ,0.01191661062054514,0.02146888849850889,0.06677099823810805,중복(2배)
9830,한화솔루션,0.009777442395835527,0.01761497688234307,0.0547848385563572,중복(2배)
100,유한양행,0.006620154334810791,0.01192682716442332,0.03709396299846821,중복(2배)
3490,대한항공,0.006280334546421598,0.01131461003500429,0.03518988916285177,중복(2배)
79550,LIG넥스원,0.004438607543520309,0.007996566597232555,0.02487034828150573,중복(2배)
10140,삼성중공업,0.003787694426104622,0.006823885741493144,0.02122316033519553,중복(2배)
