티커,종목명,강도_단기,강도_장기,최종점수,비고
5690,파미셀,0.05858072916281956,0.1055386621754356,0.3282387826765103,중복(2배)
353200,대덕전자,0.03181435626445808,0.05731653815355115,0.1782617888360185,중복(2배)
1440,대한전선,0.01322327936922224,0.02382297445156251,0.0740925076415695,중복(2배)
62040,산일전기,0.0125061262948883,0.02253095611853973,0.07007416482685608,중복(2배)
454910,두산로보틱스,0.01180068295814552,0.02126003397290584,0.0661214338621027,중복(2배)
9830,한화솔루션,0.01134311127621442,0.02043567579487513,0.06355757414217911,중복(2배)
11070,LG이노텍,0.01046040311002311,0.01884539448082331,0.05861159518169286,중복(2배)
161390,한국타이어앤테크놀로지,0.01039147004664767,0.01872120512039254,0.05822535033408044,중복(2배)
6260,LS,0.009005443164837819,0.0162241480687667,0.05045918246720903,중복(2배)
10950,S-Oil,0.007380982556867409,0.0132975303606569,0.04135702583504862,중복(2배)
